X2020;X2020_kaynteja;X2021;X2021_kaynteja;X2022;X2022_kaynteja;X2023;X2023_kaynteja
1.3.;88;1.1.;125;1.1.;1847;1.1.;1819
2.3.;4464;2.1.;158;2.1.;3272;2.1.;9996
3.3.;4044;3.1.;168;3.1.;12675;3.1.;9586
4.3.;3759;4.1.;4583;4.1.;11388;4.1.;8917
5.3.;3860;5.1.;4107;5.1.;10934;5.1.;8088
6.3.;3311;6.1.;235;6.1.;3736;6.1.;1484
7.3.;141;7.1.;4764;7.1.;8696;7.1.;1339
8.3.;147;8.1.;3945;8.1.;2930;8.1.;1523
9.3.;4551;9.1.;236;9.1.;3340;9.1.;11328
10.3.;4158;10.1.;208;10.1.;13790;10.1.;9308
11.3.;3876;11.1.;5730;11.1.;11404;11.1.;9017
12.3.;3958;12.1.;5084;12.1.;11236;12.1.;9184
13.3.;3849;13.1.;4339;13.1.;10875;13.1.;7314
14.3.;182;14.1.;4372;14.1.;8891;14.1.;1141
15.3.;152;15.1.;3907;15.1.;2118;15.1.;1306
16.3.;5631;16.1.;170;16.1.;2996;16.1.;10538
17.3.;5507;17.1.;137;17.1.;12969;17.1.;8588
18.3.;5505;18.1.;5525;18.1.;10776;18.1.;8563
19.3.;5335;19.1.;4878;19.1.;10541;19.1.;8333
20.3.;4087;20.1.;4589;20.1.;10223;20.1.;6831
21.3.;336;21.1.;4622;21.1.;8060;21.1.;990
22.3.;185;22.1.;4020;22.1.;1767;22.1.;1352
23.3.;6346;23.1.;253;23.1.;2513;23.1.;10250
24.3.;5316;24.1.;178;24.1.;12773;24.1.;8599
25.3.;5164;25.1.;5438;25.1.;10376;25.1.;8233
26.3.;5079;26.1.;4855;26.1.;10240;26.1.;8271
27.3.;4049;27.1.;4628;27.1.;10061;27.1.;6705
28.3.;234;28.1.;4624;28.1.;7939;28.1.;1047
29.3.;210;29.1.;4208;29.1.;1779;29.1.;1295
30.3.;6175;30.1.;208;30.1.;2515;30.1.;10577
31.3.;5096;31.1.;156;31.1.;12538;31.1.;8698
1.4.;4651;1.2.;5615;1.2.;10449;1.2.;8583
2.4.;4834;2.2.;4904;2.2.;10317;2.2.;8444
3.4.;4261;3.2.;4715;3.2.;10105;3.2.;6974
4.4.;309;4.2.;4703;4.2.;8276;4.2.;1152
5.4.;173;5.2.;4085;5.2.;1762;5.2.;1288
6.4.;5691;6.2.;231;6.2.;2722;6.2.;10353
7.4.;4670;7.2.;167;7.2.;12961;7.2.;8821
8.4.;4355;8.2.;5560;8.2.;10692;8.2.;8756
9.4.;4130;9.2.;4954;9.2.;10304;9.2.;8704
10.4.;340;10.2.;4618;10.2.;9801;10.2.;7273
11.4.;148;11.2.;4526;11.2.;7795;11.2.;1043
12.4.;154;12.2.;3888;12.2.;1598;12.2.;1352
13.4.;151;13.2.;241;13.2.;2722;13.2.;10607
14.4.;5062;14.2.;206;14.2.;12976;14.2.;8680
15.4.;4458;15.2.;5286;15.2.;10647;15.2.;8814
16.4.;4491;16.2.;4795;16.2.;10427;16.2.;8708
17.4.;3903;17.2.;4779;17.2.;10200;17.2.;7529
18.4.;207;18.2.;4579;18.2.;8415;18.2.;1155
19.4.;185;19.2.;4091;19.2.;1867;19.2.;1302
20.4.;5229;20.2.;265;20.2.;2789;20.2.;10438
21.4.;4571;21.2.;200;21.2.;12534;21.2.;8781
22.4.;4173;22.2.;5132;22.2.;10424;22.2.;8376
23.4.;4100;23.2.;4483;23.2.;10595;23.2.;8128
